age,date,gender,country,selfemployed,familyhistory,treatment,workinterfere,remotework,techcompany,benefits,careoptions,wellnessprogram,seekhelp,anonymity,leave,mentalhealthconsequence,physhealthconsequence,coworkers,supervisor,mentalhealthinterview,physhealthinterview,mentalvsphysical,obsconsequence
36,2013,Male,United States,No,Yes,No,Never,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,No,No,Yes,Yes,No,No,Unsure,No
27,2013,Male,Canada,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat easy,No,No,Some of them,Some,Maybe,Yes,Yes,No
29,2013,Female,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Unsure,No,No,Unsure,Somewhat easy,No,No,Yes,Some,Maybe,Maybe,Unsure,No
23,2013,Male,United Kingdom,No,No,Yes,Sometimes,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No
32,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Yes,No,No,No,No
46,2013,Male,United States,Yes,Yes,No,Sometimes,Yes,Yes,Yes,Unsure,Yes,Unsure,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes
36,2013,Male,France,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some,Maybe,Maybe,Unsure,No
29,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some,No,No,No,No
31,2013,Male,United States,Yes,No,No,Never,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some,No,Maybe,Yes,No
46,2013,Male,United States,No,No,Yes,Often,Yes,Yes,Yes,Yes,No,No,Unsure,Unsure,Maybe,No,Some of them,Yes,No,Maybe,No,No
41,2013,Male,United States,No,No,Yes,Never,No,No,Unsure,No,No,Unsure,Unsure,Unsure,Maybe,No,No,No,No,Yes,Unsure,No
33,2013,Male,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Unsure,Unsure,Yes,Yes,Unsure,No,No,Yes,Yes,No,Yes,Unsure,No
35,2013,Male,United States,No,Yes,Yes,Sometimes,No,No,Yes,Yes,No,Unsure,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No
33,2013,Male,United States,No,No,No,No,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,No,No,No,Unsure,No
35,2013,Female,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Unsure,Unsure,Unsure,Unsure,No,No,Yes,Yes,Maybe,Maybe,Yes,No
34,2013,Male,United States,No,No,Yes,Sometimes,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Somewhat difficult,No,No,Some of them,No,No,No,No,No
37,2013,Male,United Kingdom,No,No,No,Sometimes,No,Yes,No,No,No,No,Unsure,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No
32,2013,Male,United Kingdom,No,No,No,Never,Yes,Yes,No,No,No,No,Unsure,Unsure,Yes,Yes,Some of them,Some,No,Maybe,No,No
31,2013,Male,United States,Yes,Yes,No,Rarely,Yes,Yes,No,Yes,No,No,Unsure,Somewhat difficult,Yes,No,No,No,No,No,No,Yes
30,2013,Male,United Kingdom,No,Yes,Yes,Sometimes,Yes,Yes,Unsure,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Unsure,No
42,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some,Maybe,Yes,Unsure,No
40,2013,Female,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Unsure,Unsure,Maybe,No,Some of them,No,No,Maybe,Yes,No
27,2013,Male,United States,No,No,Yes,Rarely,No,Yes,No,Yes,No,No,Unsure,Very easy,No,No,Yes,Yes,Maybe,Maybe,Unsure,No
29,2013,Male,Canada,No,No,No,Rarely,No,Yes,No,No,No,No,Unsure,Very easy,Yes,Maybe,Some of them,No,No,No,Unsure,No
38,2013,Male,Portugal,No,No,No,No,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,No,Some of them,Some,No,Maybe,No,No
50,2013,Male,United States,No,No,No,No,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,No,No,Some of them,Yes,No,Maybe,Unsure,No
35,2013,Male,United States,No,No,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
24,2013,Male,United Kingdom,No,No,Yes,Sometimes,No,Yes,No,No,No,No,Unsure,Unsure,Maybe,Maybe,Some of them,No,No,Yes,No,Yes
35,2013,Male,United States,No,No,No,No,Yes,Yes,Yes,Unsure,Unsure,Yes,Unsure,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Unsure,No
27,2013,Male,Canada,No,Yes,Yes,Sometimes,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No
18,2013,Male,Netherlands,No,No,No,Often,No,Yes,No,Unsure,No,No,Unsure,Somewhat difficult,Yes,Maybe,No,Some,No,No,No,No
30,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,No,No,No,Maybe,Unsure,No
38,2013,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
28,2013,Male,United Kingdom,No,No,No,No,No,Yes,Unsure,Unsure,No,No,Unsure,Unsure,No,Maybe,Some of them,Yes,Maybe,Yes,Unsure,No
34,2013,Male,United States,No,No,No,No,No,Yes,No,No,No,No,Unsure,Unsure,No,No,Yes,Yes,Maybe,Yes,Unsure,No
26,2013,Male,Canada,Yes,No,No,Sometimes,No,Yes,No,Yes,Yes,No,Unsure,Unsure,No,No,Yes,Yes,No,No,Yes,No
30,2013,Male,United States,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Yes,No,No,Unsure,No
22,2013,Male,United States,No,Yes,Yes,Often,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Unsure,No
33,2013,Male,United States,No,No,No,No,Yes,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,Unsure,No
31,2013,Male,United States,No,No,No,No,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Some,Maybe,Maybe,Unsure,No
32,2013,Male,United States,No,No,No,Never,Yes,Yes,Unsure,Unsure,No,No,Unsure,Unsure,Maybe,No,Some of them,Yes,No,No,Unsure,No
28,2013,Male,Switzerland,No,No,No,No,No,Yes,No,No,No,No,Unsure,Unsure,No,No,No,No,No,Maybe,Unsure,No
27,2013,Male,United States,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,No,No,Yes,Unsure,Maybe,No,No,No,No,No,Unsure,No
32,2013,Male,United States,No,Yes,No,No,Yes,Yes,Unsure,No,No,No,Unsure,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
24,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,Unsure,No,No,No,Unsure,Unsure,No,Maybe,Some of them,Yes,Yes,Yes,No,No
26,2013,Male,United States,No,No,No,No,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Unsure,No
33,2013,Male,Canada,No,Yes,Yes,Often,Yes,Yes,Unsure,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Unsure,No
44,2013,Male,United States,No,Yes,Yes,Sometimes,No,No,Yes,No,No,Unsure,Unsure,Unsure,Yes,Maybe,Some of them,No,No,Maybe,Unsure,Yes
26,2013,Female,Poland,No,No,Yes,Sometimes,Yes,Yes,Unsure,Unsure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
27,2013,Male,United Kingdom,No,No,No,Never,No,Yes,Yes,Unsure,No,Yes,Unsure,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,2013,Male,France,No,No,No,No,No,Yes,No,No,No,No,Unsure,Very easy,Yes,No,No,No,No,No,No,Yes
35,2013,Male,Canada,No,No,No,Sometimes,No,Yes,Unsure,No,No,No,Unsure,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Unsure,No
40,2013,Male,United States,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,Yes,Maybe,Some of them,No,No,No,No,Yes
23,2013,Female,Australia,No,Yes,Yes,Often,Yes,Yes,No,Unsure,No,No,Unsure,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
36,2013,Male,United States,No,No,No,Sometimes,Yes,Yes,Yes,No,Unsure,Yes,Unsure,Unsure,Maybe,No,Some of them,Some,Maybe,Yes,Yes,No
31,2013,Female,United States,No,No,No,No,Yes,No,Unsure,No,Unsure,Unsure,Unsure,Unsure,Maybe,No,Some of them,No,No,Maybe,Unsure,No
34,2013,Male,United States,Yes,No,No,Rarely,Yes,Yes,No,No,No,No,Unsure,Unsure,Maybe,No,Some of them,No,No,No,Unsure,No
28,2013,Male,France,No,No,No,Never,No,Yes,No,No,No,No,Unsure,Unsure,Maybe,No,Some of them,Some,No,No,Unsure,No
34,2013,Male,Canada,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat easy,No,No,Some of them,Yes,No,No,Unsure,No
23,2013,Other,United States,No,No,No,Rarely,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No
38,2013,Male,United Kingdom,No,No,No,No,No,Yes,No,No,No,Unsure,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No
33,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,Yes,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,No,Maybe,Yes,No
19,2013,Male,United Kingdom,No,No,No,No,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No
25,2013,Male,United States,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,No,No,Yes,Yes,Maybe,Yes,Yes,No
31,2013,Male,United States,Yes,Yes,No,Sometimes,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
32,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,No,Unsure,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No
28,2013,Male,Germany,No,No,No,Never,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Very easy,No,No,Some of them,Some,Maybe,Yes,Yes,No
38,2013,Male,United States,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Unsure,Unsure,No,No,Yes,Some,Maybe,Maybe,Yes,No
23,2013,Male,United Kingdom,No,No,No,Never,No,Yes,Yes,Unsure,Yes,Unsure,Unsure,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
30,2013,Male,Canada,No,No,No,Never,No,No,No,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,No,No,No,No
27,2013,Female,United States,Yes,No,Yes,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
33,2013,Male,United States,No,Yes,No,Never,No,Yes,No,No,No,No,Unsure,Unsure,Yes,No,No,No,No,Maybe,No,No
31,2013,Male,United States,No,No,No,No,No,Yes,Unsure,Unsure,No,No,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,No,No
39,2013,Male,United Kingdom,Yes,No,Yes,Often,No,Yes,No,No,No,No,Unsure,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes
34,2013,Female,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Unsure,No,Unsure,Unsure,Unsure,Yes,Maybe,Some of them,Some,No,No,Unsure,No
29,2013,Female,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Unsure,Unsure,Maybe,No,Some of them,Some,No,Maybe,No,Yes
32,2013,Male,United States,No,No,No,No,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,No,No,Some of them,Some,No,No,Unsure,No
31,2013,Male,United States,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
40,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No
34,2013,Male,United States,No,No,No,No,No,Yes,Unsure,No,No,No,Unsure,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Unsure,No
18,2013,Male,Russia,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Unsure,No
25,2013,Female,Canada,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Yes,No,Maybe,Unsure,No
29,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,No,No,Yes,Yes,Maybe,Maybe,No,No
24,2013,Male,United States,No,Yes,No,Rarely,No,Yes,Unsure,Unsure,No,Unsure,Unsure,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Unsure,No
31,2013,Male,Mexico,No,Yes,Yes,Sometimes,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Yes,No,No
33,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,No,Yes,No,No,Unsure,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No
30,2013,Male,United States,No,No,Yes,Often,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,2013,Female,Canada,No,Yes,Yes,Sometimes,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
44,2013,Female,United States,No,No,No,Never,No,Yes,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Maybe,Maybe,No,Some,No,No,Unsure,No
25,2013,Male,United States,No,Yes,No,No,No,Yes,Unsure,No,Unsure,Unsure,Unsure,Very easy,No,No,Some of them,Yes,No,No,Unsure,No
33,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
29,2013,Male,United States,No,No,No,Never,No,Yes,Yes,Unsure,Yes,Unsure,Unsure,Somewhat easy,No,No,Some of them,Yes,No,No,Unsure,No
35,2013,Male,United States,No,Yes,No,Rarely,No,Yes,Yes,Unsure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Unsure,No
35,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,Unsure,Unsure,No,No,Unsure,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
28,2013,Male,Brazil,No,Yes,Yes,Rarely,No,Yes,No,No,No,No,No,Unsure,Maybe,No,Yes,Yes,No,No,Unsure,Yes
34,2013,Male,United States,No,Yes,No,Never,Yes,Yes,Yes,No,No,No,Unsure,Unsure,Maybe,No,No,No,No,No,Unsure,No
32,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
22,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,No,Unsure,Yes,Unsure,Yes,No,No,No,No,Yes,No,No
28,2013,Male,United States,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some,No,Maybe,Yes,No
45,2013,Male,United States,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,2013,Male,United States,No,No,No,Never,No,Yes,Yes,Yes,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,Some,No,No,Unsure,No
28,2013,Male,United States,No,No,No,No,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,Maybe,No,Some of them,No,No,Maybe,Unsure,No
26,2013,Male,United Kingdom,No,No,No,Never,No,Yes,Unsure,No,No,Unsure,Unsure,Very easy,No,No,Some of them,Some,No,No,Unsure,Yes
21,2013,Male,United Kingdom,Yes,No,No,Often,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No
27,2013,Male,Canada,No,No,No,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Unsure,No
18,2013,Male,United States,No,No,Yes,Rarely,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Unsure,No
35,2013,Male,United States,No,No,No,No,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Maybe,Unsure,No
29,2013,Male,United States,No,No,No,Never,No,Yes,Yes,Yes,No,Yes,Unsure,Unsure,Yes,Yes,No,No,No,No,Unsure,No
25,2013,Male,United States,No,No,No,No,Yes,Yes,Unsure,No,No,No,Unsure,Very easy,No,No,Some of them,Yes,No,No,Unsure,No
33,2013,Male,United States,No,Yes,Yes,Sometimes,Yes,Yes,Unsure,No,Unsure,Unsure,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
36,2013,Male,United States,No,No,No,Often,No,Yes,Yes,No,No,No,Yes,Unsure,Maybe,No,No,No,No,No,Unsure,No
27,2013,Male,Canada,No,No,Yes,Never,No,No,Yes,Unsure,No,No,Unsure,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes
27,2013,Male,United States,No,Yes,No,Never,No,Yes,Yes,No,Yes,Yes,Yes,Unsure,Yes,No,Some of them,No,No,Yes,Unsure,No
27,2013,Male,United Kingdom,No,No,No,No,No,Yes,No,No,No,No,Unsure,Unsure,No,No,Some of them,Some,No,No,Unsure,No
32,2013,Male,United States,No,No,Yes,Rarely,No,Yes,Yes,Yes,No,Yes,Yes,Unsure,Yes,No,No,Yes,No,No,Unsure,No
31,2013,Male,United Kingdom,No,Yes,No,Sometimes,No,Yes,No,No,No,No,Unsure,Somewhat easy,Maybe,Maybe,No,No,No,No,Yes,No
19,2013,Male,Slovenia,No,No,Yes,Sometimes,No,Yes,Unsure,No,No,No,Unsure,Somewhat easy,Yes,Yes,Some of them,No,No,No,Unsure,No
33,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,No,No,Unsure,Very easy,Maybe,No,Yes,Some,No,Yes,No,No
32,2013,Male,United States,No,No,No,Rarely,Yes,Yes,No,Yes,No,No,Unsure,Very difficult,Maybe,No,Yes,Some,No,Yes,Unsure,No
27,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,Yes,Yes,Maybe,Maybe,Unsure,No
38,2013,Male,Costa Rica,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No
24,2013,Male,Canada,No,No,Yes,Never,No,Yes,Unsure,No,No,No,Unsure,Unsure,No,No,Some of them,Yes,Maybe,Yes,Unsure,No
39,2013,Male,United Kingdom,No,No,No,Never,No,No,No,No,No,No,Unsure,Unsure,Yes,Maybe,No,No,No,No,Unsure,No
28,2013,Male,United Kingdom,No,No,No,Never,No,Yes,Unsure,No,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
39,2013,Male,United States,No,No,Yes,Often,No,Yes,Yes,Unsure,No,No,Unsure,Somewhat easy,No,No,Yes,Yes,No,No,Unsure,No
29,2013,Female,United States,No,No,No,No,No,Yes,Unsure,No,No,Unsure,Unsure,Somewhat easy,Maybe,No,Some of them,No,No,No,Unsure,No
22,2013,Male,Austria,No,No,No,No,Yes,Yes,Unsure,No,Unsure,No,Unsure,Somewhat easy,No,No,Some of them,Some,No,No,Unsure,No
38,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Unsure,No,Unsure,Unsure,Unsure,Unsure,Maybe,No,Some of them,Yes,No,No,Unsure,No
37,2013,Male,United Kingdom,Yes,No,Yes,Sometimes,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,No,No,Maybe,Yes,No
35,2013,Male,United States,No,No,No,Never,Yes,No,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Yes,No,Some of them,No,No,Maybe,Unsure,No
18,2013,Male,United States,No,No,No,No,Yes,No,Yes,No,Unsure,Yes,Unsure,Unsure,No,No,Some of them,Yes,No,No,Unsure,No
30,2013,Female,United States,No,Yes,No,No,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,Maybe,Some of them,Some,No,Maybe,Unsure,No
37,2013,Male,United States,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Unsure,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Unsure,No
24,2013,Male,United Kingdom,No,No,No,Never,No,Yes,No,No,No,No,Yes,Unsure,Maybe,Maybe,No,Some,No,No,Unsure,No
23,2013,Male,United States,No,No,No,Sometimes,No,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No
30,2013,Male,Ireland,No,No,Yes,Rarely,No,Yes,No,Yes,Yes,Yes,Unsure,Somewhat easy,Yes,No,Some of them,No,No,No,No,Yes
29,2013,Female,United States,No,No,No,No,Yes,Yes,Unsure,Unsure,No,Unsure,Unsure,Unsure,Maybe,No,No,Some,No,Maybe,Unsure,No
19,2013,Male,Canada,Yes,Yes,No,No,Yes,Yes,Unsure,Unsure,No,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Some,Maybe,Maybe,Unsure,No
32,2013,Male,United States,No,Yes,No,Never,No,Yes,Unsure,Unsure,No,No,Unsure,Very easy,No,No,Some of them,Some,No,Maybe,No,No
28,2013,Male,Poland,No,No,No,Rarely,Yes,Yes,No,No,No,No,Unsure,Unsure,No,No,Yes,Yes,Maybe,Yes,Yes,No
36,2013,Male,United States,No,No,No,Never,No,Yes,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,No,No,Some of them,Some,Maybe,Maybe,Unsure,No
37,2013,Male,United Kingdom,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Maybe,Some of them,No,No,Yes,No,Yes
25,2013,Male,United States,No,Yes,Yes,Sometimes,No,No,Unsure,No,No,Unsure,Unsure,Somewhat difficult,Maybe,No,Some of them,Some,No,Maybe,No,No
27,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Unsure,No,No,Unsure,Unsure,Unsure,No,No,No,Some,No,Maybe,Unsure,No
26,2013,Male,United States,No,No,No,Often,No,No,Unsure,Unsure,No,No,Unsure,Unsure,Yes,Maybe,Some of them,Yes,No,Maybe,No,No
27,2013,Male,United States,No,No,Yes,Rarely,Yes,Yes,No,Yes,No,No,Unsure,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,Unsure,Yes
25,2013,Male,United States,No,Yes,Yes,Sometimes,No,Yes,Unsure,Unsure,No,No,Unsure,Very easy,Maybe,No,Some of them,No,No,No,Unsure,Yes
36,2013,Male,United Kingdom,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some,No,Maybe,Unsure,Yes
25,2013,Female,United States,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,No,Unsure,Unsure,Yes,Yes,Some of them,Some,No,No,Unsure,No
31,2013,Male,United States,No,No,No,Never,No,Yes,Yes,No,No,Yes,Unsure,Unsure,No,No,Some of them,Some,No,No,Unsure,No
26,2013,Male,United States,No,Yes,No,Rarely,No,Yes,Unsure,No,No,No,Unsure,Unsure,Maybe,No,Some of them,Yes,No,No,Unsure,No
33,2013,Female,United States,Yes,Yes,Yes,Sometimes,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,No,Yes,Yes,No
27,2013,Female,United Kingdom,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
34,2013,Male,United States,No,No,No,Never,No,Yes,No,No,No,No,Unsure,Very easy,Maybe,No,Some of them,Some,No,Maybe,Unsure,No
42,2013,Male,United States,No,No,No,No,No,Yes,No,Yes,No,No,Unsure,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
23,2013,Male,Ireland,Yes,Yes,No,Sometimes,No,Yes,No,No,No,No,Unsure,Very difficult,Yes,No,No,No,No,Maybe,No,No
24,2013,Male,United Kingdom,No,No,No,Rarely,No,Yes,Unsure,Unsure,Yes,Unsure,Unsure,Very easy,Maybe,Maybe,Some of them,Some,No,Maybe,Unsure,No
26,2013,Male,United Kingdom,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Unsure,Unsure,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Unsure,No
